trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
530020,08:37:32,08:37:32,29,45,GREENFIELD TO CARNEGIE MELLON,0,0,13941.39,0
5302020,19:20:00,19:20:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5304020,18:02:00,18:02:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5308010,17:39:00,17:39:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5309070,06:14:00,06:14:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5312080,22:58:00,22:58:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5313020,13:05:19,13:05:19,7639,68,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,24086.24,0
5316070,15:50:00,15:50:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
532020,13:45:00,13:45:00,29,9,MONROEVILLE TO CCAC BOYCE,0,0,5179.67,1
5336020,09:28:00,09:28:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
5344020,08:46:24,08:46:24,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
535070,22:04:00,22:04:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5360010,16:07:00,16:07:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5363020,22:40:00,22:40:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
537010,14:07:00,14:07:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5378010,19:16:10,19:16:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
5388070,10:59:00,10:59:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
539070,08:31:00,08:31:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5403070,15:24:00,15:24:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5426020,24:49:00,24:49:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
5430020,13:00:00,13:00:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5441080,06:24:00,06:24:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5444070,12:36:15,12:36:15,7639,71,HOMEWOOD-SQUIRREL HILL TO MURRAY-FORBES,0,0,12655.27,0
5448020,08:04:00,08:04:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5483020,13:46:15,13:46:15,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
5488070,22:04:00,22:04:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5490080,07:32:00,07:32:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5513070,17:15:00,17:15:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5515020,19:13:00,19:13:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5547020,04:53:19,04:53:19,7639,3,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,380.85,0
5559020,18:26:00,18:26:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
5561020,11:45:00,11:45:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5566080,13:37:00,13:37:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5570080,14:13:00,14:13:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
5586070,22:50:00,22:50:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5588070,19:07:00,19:07:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5589010,08:12:00,08:12:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
5595020,07:43:00,07:43:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
